family,name,horizon_h,split,row_count,MAE,RMSE,median_absolute_error,p90_absolute_error,p95_absolute_error,bias,sMAPE,R2,mean_actual_mw,median_actual_mw,p10_actual_mw,p90_actual_mw,MAE_percent_of_mean,MAE_percent_of_median
baseline,pred_B2_calendar_hour_weekday_profile,144,validate,3624,334.816117578244,338.1822710772584,331.1530999973095,400.20046567761693,416.2376893084443,334.816117578244,0.6690931024244765,-53.29461209148365,336.75393188417434,336.531726875,272.780849925,397.0144116,99.42456074823298,99.49020875009707
baseline,pred_B2_calendar_hour_weekday_profile,144,holdout,8615,361.8776668661053,365.9625590634416,376.2056820738785,422.60816412497826,431.64028364427804,361.8776668661053,0.7451297728961152,-45.56114678489891,309.6312977542073,292.32350125,253.32155755,394.5787484,116.873736437772,123.79355929943567
baseline,pred_B2_calendar_hour_weekday_profile,168,validate,3624,334.816117578244,338.1822710772584,331.1530999973095,400.20046567761693,416.2376893084443,334.816117578244,0.6690931024244765,-53.29461209148365,336.75393188417434,336.531726875,272.780849925,397.0144116,99.42456074823298,99.49020875009707
baseline,pred_B2_calendar_hour_weekday_profile,168,holdout,8615,361.8776668661053,365.9625590634416,376.2056820738785,422.60816412497826,431.64028364427804,361.8776668661053,0.7451297728961152,-45.56114678489891,309.6312977542073,292.32350125,253.32155755,394.5787484,116.873736437772,123.79355929943567
baseline,pred_B3_seasonal_hour_weekday_profile,1,validate,3624,465.70912717307107,480.47178313664887,495.128592694444,587.1862074093746,609.023248990625,465.70912717307107,0.8055167248295516,-108.59502435714565,336.75393188417434,336.531726875,272.780849925,397.0144116,138.29359751417854,138.38490994522255
baseline,pred_B3_seasonal_hour_weekday_profile,1,holdout,8615,380.3765463007264,399.5621247292439,340.8216552884611,555.5910952833333,591.7716337374997,380.3765463007264,0.7476252779359817,-54.50332289649038,309.6312977542073,292.32350125,253.32155755,394.5787484,122.84822272801321,130.12178106590954
baseline,pred_B3_seasonal_hour_weekday_profile,3,validate,3624,465.70912717307107,480.47178313664887,495.128592694444,587.1862074093746,609.023248990625,465.70912717307107,0.8055167248295516,-108.59502435714565,336.75393188417434,336.531726875,272.780849925,397.0144116,138.29359751417854,138.38490994522255
baseline,pred_B3_seasonal_hour_weekday_profile,3,holdout,8615,380.3765463007264,399.5621247292439,340.8216552884611,555.5910952833333,591.7716337374997,380.3765463007264,0.7476252779359817,-54.50332289649038,309.6312977542073,292.32350125,253.32155755,394.5787484,122.84822272801321,130.12178106590954
baseline,pred_B3_seasonal_hour_weekday_profile,6,validate,3624,465.70912717307107,480.47178313664887,495.128592694444,587.1862074093746,609.023248990625,465.70912717307107,0.8055167248295516,-108.59502435714565,336.75393188417434,336.531726875,272.780849925,397.0144116,138.29359751417854,138.38490994522255
baseline,pred_B3_seasonal_hour_weekday_profile,6,holdout,8615,380.3765463007264,399.5621247292439,340.8216552884611,555.5910952833333,591.7716337374997,380.3765463007264,0.7476252779359817,-54.50332289649038,309.6312977542073,292.32350125,253.32155755,394.5787484,122.84822272801321,130.12178106590954
baseline,pred_B3_seasonal_hour_weekday_profile,12,validate,3624,465.70912717307107,480.47178313664887,495.128592694444,587.1862074093746,609.023248990625,465.70912717307107,0.8055167248295516,-108.59502435714565,336.75393188417434,336.531726875,272.780849925,397.0144116,138.29359751417854,138.38490994522255
baseline,pred_B3_seasonal_hour_weekday_profile,12,holdout,8615,380.3765463007264,399.5621247292439,340.8216552884611,555.5910952833333,591.7716337374997,380.3765463007264,0.7476252779359817,-54.50332289649038,309.6312977542073,292.32350125,253.32155755,394.5787484,122.84822272801321,130.12178106590954
